1,1,0.001996007984031936,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
1,2,0.001996007984031936,BoulwareNegotiationParty@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
2,1,0.003992015968063872,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
2,2,0.003992015968063872,BoulwareNegotiationParty@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
3,1,0.005988023952095809,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
3,2,0.005988023952095809,BoulwareNegotiationParty@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
4,1,0.007984031936127744,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
4,2,0.007984031936127744,BoulwareNegotiationParty@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
5,1,0.00998003992015968,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
5,2,0.00998003992015968,BoulwareNegotiationParty@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
6,1,0.011976047904191617,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.BestBid_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
