1,1,0.01639344262295082,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
1,2,0.01639344262295082,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
2,1,0.03278688524590164,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
2,2,0.03278688524590164,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
3,1,0.04918032786885246,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
3,2,0.04918032786885246,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
4,1,0.06557377049180328,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
4,2,0.06557377049180328,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
5,1,0.08196721311475409,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
5,2,0.08196721311475409,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
6,1,0.09836065573770492,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
6,2,0.09836065573770492,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@7,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
7,1,0.11475409836065574,BoulwareNegotiationParty@6,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
